title,author,raw_isbn_in_csv,cleaned_isbn_attempt,skip_reason
Wolfsong,T.J. Klune (Goodreads Author),'B01GJ0S5M4,01054,Invalid Length (not 10 or 13 after cleaning)
Special Forces,"Aleksandr Voinov (Goodreads Author), Marquesate (Goodreads Author), Vashtan",,,Invalid Length (not 10 or 13 after cleaning)
The Line of Illeniel,Michael G. Manning (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
More Than Miles,Autumn Jones Lake (Goodreads Author),'B01J2EPPKE,012,Invalid Length (not 10 or 13 after cleaning)
The Rules of Magic,Alice Hoffman (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
A Ruthless Proposition,Natasha Anders (Goodreads Author),'B010UMT8U0,01080,Invalid Length (not 10 or 13 after cleaning)
Hangman,Daniel Cole,'B06XRJH4M9,0649,Invalid Length (not 10 or 13 after cleaning)
The Dragon Waiting,John M. Ford,,,Invalid Length (not 10 or 13 after cleaning)
"Dead, Undead, or Somewhere in Between",J.A. Saare (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
...And the Stars Will Sing,Michelle Browne (Goodreads Author),'B0075G7GEA,00757,Invalid Length (not 10 or 13 after cleaning)
Netherworld,K.N. Lee (Goodreads Author),'B00CR0T5KW,0005,Invalid Length (not 10 or 13 after cleaning)
Been So Long,Adrienne Thompson (Goodreads Author),'B007271WHO,007271,Invalid Length (not 10 or 13 after cleaning)
The Crossover,Kwame Alexander,,,Invalid Length (not 10 or 13 after cleaning)
The Atlantis Gene,A.G. Riddle (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Guardian,"Alex London, C. Alexander London (Pseudonym)",'B00FX7ULA4,0074,Invalid Length (not 10 or 13 after cleaning)
The Way of the Dragon,Chris Bradford (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
"The Year I Turned 25: A Memoir About Sex, Anxiety and a Dog Named She-Devil",Raquel Fletcher (Goodreads Author),'B01MUF1OW4,0114,Invalid Length (not 10 or 13 after cleaning)
"Love, Lucy",Lucille Ball,,,Invalid Length (not 10 or 13 after cleaning)
Special Forces - Soldiers,"Aleksandr Voinov (Goodreads Author), Marquesate (Goodreads Author), Vashtan",,,Invalid Length (not 10 or 13 after cleaning)
"I, Zombie",Hugh Howey (Goodreads Author),'B008PIHXS6,0086,Invalid Length (not 10 or 13 after cleaning)
Eternal Eden,Nicole Williams (Goodreads Author),'B004SI455Q,004455,Invalid Length (not 10 or 13 after cleaning)
The Blacksmith's Son,Michael G. Manning (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
The Rainy Day Man: espionage Thriller (Suspense and Political Mystery Book 1),"Amnon Jackont (Goodreads Author), Dorothea Shefer-Vanson (Goodreads Author) (Translator)",'B00IWN7X4I,0074,Invalid Length (not 10 or 13 after cleaning)
Broken,Sasha Marshall (Goodreads Author),'B07DK6S1FS,0761,Invalid Length (not 10 or 13 after cleaning)
Something Real,Heather Demetrios (Goodreads Author),'B00E718YEC,00718,Invalid Length (not 10 or 13 after cleaning)
Redemption,Erica Stevens (Goodreads Author),'B00JS9WHFU,009,Invalid Length (not 10 or 13 after cleaning)
Get Me,Jillian Dodd (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
To Russia With Love,"Chris Almeida (Goodreads Author), Cecilia Aubrey (Goodreads Author)",,,Invalid Length (not 10 or 13 after cleaning)
The Complete Oz,L. Frank Baum,'B003TU29GQ,00329,Invalid Length (not 10 or 13 after cleaning)
Fractured,Dani Atkins (Goodreads Author),'B00B3JKHZA,003,Invalid Length (not 10 or 13 after cleaning)
Mordacious,Sarah Lyons Fleming (Goodreads Author),'B01GPUI2SK,012,Invalid Length (not 10 or 13 after cleaning)
Stand,A.L. Jackson (Goodreads Author),'B0728FSMM9,07289,Invalid Length (not 10 or 13 after cleaning)
Roma 40 D.C. – Destino de Amor,Adele Vieri Castellano (Goodreads Author),'B00L1RIYYK,001,Invalid Length (not 10 or 13 after cleaning)
The Vintage Coat,Chris Turnbull (Goodreads Author),'B00U6RH6ZO,0066,Invalid Length (not 10 or 13 after cleaning)
A Companion Workbook to What the Torah Teaches Us About Survival,Laura Weakley (Goodreads Author),'B004G5ZTGK,0045,Invalid Length (not 10 or 13 after cleaning)
Ted and Raymond's Sea Adventure,Rhonda Patton (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Filthy Beautiful Lies,Kendall Ryan (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Daredevil: Born Again,"Frank Miller, David Mazzucchelli (Illustrator)",,,Invalid Length (not 10 or 13 after cleaning)
Stray,Andrea K. Höst (Goodreads Author),'B004T3A518,0043518,Invalid Length (not 10 or 13 after cleaning)
The Earth Dwellers,David Estes (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Hyde,Lauren Stewart (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Terminal,"Kathy Reichs (Goodreads Author), Brendan Reichs (Goodreads Author)",,,Invalid Length (not 10 or 13 after cleaning)
The Love That Split the World,Emily Henry (Goodreads Author),'B015NTIXS8,0158,Invalid Length (not 10 or 13 after cleaning)
The Helicopter Pilot,Darcy Hoover (Goodreads Author),'B079C6PY2C,07962,Invalid Length (not 10 or 13 after cleaning)
Gentle Rogue,Johanna Lindsey,,,Invalid Length (not 10 or 13 after cleaning)
Lace,Shirley Conran,,,Invalid Length (not 10 or 13 after cleaning)
Chocolicious,Geraldine Solon (Goodreads Author),'B005BVZK0S,0050,Invalid Length (not 10 or 13 after cleaning)
Camille,Tess Oliver (Goodreads Author),'B003V8BHPK,0038,Invalid Length (not 10 or 13 after cleaning)
Iron's Prophecy,Julie Kagawa (Goodreads Author),'B0088NH1VC,00881,Invalid Length (not 10 or 13 after cleaning)
The End,Mark Tufo (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Bitter Sweet Love,Jennifer L. Armentrout (Goodreads Author),'B00DPAFPQG,00,Invalid Length (not 10 or 13 after cleaning)
Dangerous Boys,"Abigail Haas (Pseudonym), AbMcDonald (Goodreads Author)",'B00EMC5JJ4,0054,Invalid Length (not 10 or 13 after cleaning)
Never Been Kissed,C.M. Kars (Goodreads Author),'B00K6KBKEY,006,Invalid Length (not 10 or 13 after cleaning)
The Traitor's Kiss,Erin Beaty (Goodreads Author),'B01KFX64VK,0164,Invalid Length (not 10 or 13 after cleaning)
Der Winter erwacht,"C.L. Wilson (Goodreads Author), Anita Nirschl (Translator)",'B00PY1MFXU,001,Invalid Length (not 10 or 13 after cleaning)
The Magnolia Story,"Chip Gaines, Joanna Gaines",,,Invalid Length (not 10 or 13 after cleaning)
Exhalation: Stories,Ted Chiang,,,Invalid Length (not 10 or 13 after cleaning)
Magic Hour,Kristin Hannah (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Love Letters,Geraldine Solon (Goodreads Author),'B004IE9YA6,00496,Invalid Length (not 10 or 13 after cleaning)
Moonglow,Kristen Callihan (Goodreads Author),'B006FLRDPS,006,Invalid Length (not 10 or 13 after cleaning)
The End Has Come and Gone,Mark Tufo (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Alive In A Dead World,Mark Tufo (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Taking Shots,Toni Aleo (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
African Safari with Ted and Raymond,Rhonda Patton (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Torment of Shadows,Chelsea Luna (Goodreads Author),'B00IRBXKHE,00,Invalid Length (not 10 or 13 after cleaning)
The Art of Life,Sarah Kay Carter (Goodreads Author),'B00CCH4YMO,004,Invalid Length (not 10 or 13 after cleaning)
The Starbirth Assignment: Transmutes,J.M. Johnson (Goodreads Author),'B006TWGORQ,006,Invalid Length (not 10 or 13 after cleaning)
Time's Edge,Rysa Walker (Goodreads Author),'B00K2GMMKI,002,Invalid Length (not 10 or 13 after cleaning)
Time's Divide,Rysa Walker (Goodreads Author),'B00WL6QGGS,006,Invalid Length (not 10 or 13 after cleaning)
The Wrong Side of Right,Jenn Marie Thorne (Goodreads Author),'B00KWG63F8,00638,Invalid Length (not 10 or 13 after cleaning)
The Teacher,Katerina Diamond (Goodreads Author),'B017N7914I,0177914,Invalid Length (not 10 or 13 after cleaning)
Tied,Carian Cole (Goodreads Author),'B0738QG8SQ,07388,Invalid Length (not 10 or 13 after cleaning)
In the Dark,Loreth Anne White (Goodreads Author),'B07PSFHQPG,07,Invalid Length (not 10 or 13 after cleaning)
The Spell,Heather Killough-Walden (Goodreads Author),'B004RPSH0O,0040,Invalid Length (not 10 or 13 after cleaning)
Unholy Night,Seth Grahame-Smith,'B005SCR5R6,00556,Invalid Length (not 10 or 13 after cleaning)
A Plague Upon Your Family,Mark Tufo (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Feel the Fear,Lauren Child,'B00JD3PRBM,003,Invalid Length (not 10 or 13 after cleaning)
Vanquish,Pam Godwin (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
If I Break,Portia Moore (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
The Alternate Ending,M.J. Thompson (Goodreads Author),'B00MYA8CEU,008,Invalid Length (not 10 or 13 after cleaning)
Blink and You Die,Lauren Child,'B01D4KPTZI,014,Invalid Length (not 10 or 13 after cleaning)
Catch Your Death,Lauren Child,,,Invalid Length (not 10 or 13 after cleaning)
The Silver Eyes,"Scott Cawthon, Kira Breed-Wrisley",'B019HC4EQ2,01942,Invalid Length (not 10 or 13 after cleaning)
THE YOGA WITH NO PANTS: Super Indy-The Last Half,Alex Letner,'B01BHCFRV6,016,Invalid Length (not 10 or 13 after cleaning)
Love in the Victory Garden,Cece Whittaker (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Crossing Tinker's Knob,Inglath Cooper (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
The Mill River Recluse,Darcie Chan (Goodreads Author),'B0051PRFLQ,0051,Invalid Length (not 10 or 13 after cleaning)
Little Girl Gone,Brett Battles (Goodreads Author),'B004TGUUVA,004,Invalid Length (not 10 or 13 after cleaning)
The Rocker That Savors Me,Terri Anne Browning,'B00CKHW04A,0004,Invalid Length (not 10 or 13 after cleaning)
Bound to You: Volume 2,Vanessa Booke (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Control,C.D. Reiss (Goodreads Author),'B00CPG23TI,0023,Invalid Length (not 10 or 13 after cleaning)
The Probability of Violet & Luke,Jessica Sorensen (Goodreads Author),'B00IMPIO4E,004,Invalid Length (not 10 or 13 after cleaning)
The Certainty of Violet & Luke,Jessica Sorensen (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Hinter der Finsternis,Mona Kasten (Goodreads Author),'B00OJ69KXY,0069,Invalid Length (not 10 or 13 after cleaning)
"The Valentine Date: Long Distance, Billionaires and Former Bad Boy's Collection","Ashley Winters (Goodreads Author), Mel Ryle (Goodreads Author), N.K. Pockett (Goodreads Author)",'B01BS4ZAEM,014,Invalid Length (not 10 or 13 after cleaning)
Oblivion,Jennifer L. Armentrout (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Raspberry Danish Murder,Joanne Fluke (Goodreads Author),'B071SK3STR,0713,Invalid Length (not 10 or 13 after cleaning)
Reign of Shadows,Sophie Jordan (Goodreads Author),'B00XU6RUBS,006,Invalid Length (not 10 or 13 after cleaning)
The Off-Beat Cinder Ella: who wants her shoe back...without the Prince (upside-down fairy tales Book 1),"Anne Murray, T.K. Diem Nguyen (Illustrator)",'B082C7G9H6,082796,Invalid Length (not 10 or 13 after cleaning)
Kitchen Affairs,Brooke Cumberland (Goodreads Author),'B00BU7LDHQ,007,Invalid Length (not 10 or 13 after cleaning)
The Training,Tara Sue Me (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Taint,S.L. Jennings (Goodreads Author),'B00KFUJX58,0058,Invalid Length (not 10 or 13 after cleaning)
Beautifully Broken,Portia Moore (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Before I Break,Portia Moore (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Harry Potter: A History of Magic,"British Library, J.K. Rowling, Julian Harrison (Introduction), Julia Eccleshare (Contributor), Roger Highfield (Contributor), Anna Pavord (Contributor), Lucy Mangan (Contributor), Tim Peake (Contributor), more…",,,Invalid Length (not 10 or 13 after cleaning)
Tidal Mist,Honor Donohoe (Goodreads Author),'B07CJTSW8J,078,Invalid Length (not 10 or 13 after cleaning)
Fallen Heir,Erin Watt (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Mirror Mirror,"Cara Delevingne, Rowan Coleman (Goodreads Author)",'B06WP2RFPP,062,Invalid Length (not 10 or 13 after cleaning)
Princess of the Damned,Dahlia Lu,'B007KAUTRM,007,Invalid Length (not 10 or 13 after cleaning)
Skinhead... The Life I Chose: Memoirs of a Real Skin,Spike Pitt (Illustrator),'B00R734W16,0073416,Invalid Length (not 10 or 13 after cleaning)
The Scar (A Faking Delinquency bonus chapter),Ashley Winters (Goodreads Author),'B018FCG4HW,0184,Invalid Length (not 10 or 13 after cleaning)
Dawn Study,Maria V. Snyder (Goodreads Author),'B01HB7N984,017984,Invalid Length (not 10 or 13 after cleaning)
I'd rather Starve than Cook!,Lisa M. Orban (Goodreads Author),'B076YKT2MQ,0762,Invalid Length (not 10 or 13 after cleaning)
Yoga Time,Alex Letner,'B01A3SL1KG,0131,Invalid Length (not 10 or 13 after cleaning)
Opposite of Always,Justin A. Reynolds (Goodreads Author),'B078GLLDPP,078,Invalid Length (not 10 or 13 after cleaning)
Cracked Kingdom,Erin Watt (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Dead Ball (Deadly Sports Mysteries),Michael Balkind (Goodreads Author),'B003WMA738,003738,Invalid Length (not 10 or 13 after cleaning)
Living with the Bad Boy,Sharlay (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Saving Mars,Cidney Swanson (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Still Jaded,Tijan (Goodreads Author),'B00CI95LLY,0095,Invalid Length (not 10 or 13 after cleaning)
Bound to You: Volume 1,Vanessa Booke (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
The Dominant,Tara Sue Me (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
53 Letters for My Lover,Leylah Attar (Goodreads Author),'B00KZQ2SPO,002,Invalid Length (not 10 or 13 after cleaning)
The Fixed Trilogy,Laurelin Paige (Goodreads Author),'B00IX9UTLU,009,Invalid Length (not 10 or 13 after cleaning)
Fear Us,B.B. Reid (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
On Tour,Zoe Sugg,,,Invalid Length (not 10 or 13 after cleaning)
How to Build a Girl,Caitlin Moran,,,Invalid Length (not 10 or 13 after cleaning)
Falling Away,"Penelope Douglas (Goodreads Author), Nelson Hobbs (Narrator), AbCraden (Narrator)",'B00KWG5TVM,005,Invalid Length (not 10 or 13 after cleaning)
Dom Wars: Round Three,Lucian Bane (Goodreads Author),'B00JMF2RPU,002,Invalid Length (not 10 or 13 after cleaning)
Turbulence,Whitney G. (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
The Secret of Ventriloquism,Jon Padgett (Goodreads Author),'B01N0YB19V,01019,Invalid Length (not 10 or 13 after cleaning)
Pretty Girls Dancing,Kylie Brant,,,Invalid Length (not 10 or 13 after cleaning)
Breakthrough,Michael C. Grumley (Goodreads Author),'B00BVFM04C,0004,Invalid Length (not 10 or 13 after cleaning)
Hate Notes,"Vi Keeland (Goodreads Author), Penelope Ward (Goodreads Author)",'B079TPGJJS,079,Invalid Length (not 10 or 13 after cleaning)
The Poison Jungle,Tui T. Sutherland,'B07HPCLJL6,076,Invalid Length (not 10 or 13 after cleaning)
The Boat Builder's Bed,Kris Pearson (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Titan,John Varley,,,Invalid Length (not 10 or 13 after cleaning)
The Knight of the Rose,Angela M. Hudson (Goodreads Author),'B007Q0HS9S,00709,Invalid Length (not 10 or 13 after cleaning)
The Dark God's Bride Trilogy,"Dahlia Lu, Dahlia L. Summers (Goodreads Author)",,,Invalid Length (not 10 or 13 after cleaning)
Insanity,Lauren Hammond (Goodreads Author),'B008173I62,00817362,Invalid Length (not 10 or 13 after cleaning)
Surrender,Pamela Clare (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Roomies,Lindy Zart (Goodreads Author),'B00PXNXK5G,005,Invalid Length (not 10 or 13 after cleaning)
Broken Pieces,Riley Hart (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Corps Security: The Series,Harper Sloan (Goodreads Author),'B00RSL6G2K,0062,Invalid Length (not 10 or 13 after cleaning)
Better off Friends,Elizabeth Eulberg (Goodreads Author),'B00ESIVZF4,004,Invalid Length (not 10 or 13 after cleaning)
Conclave,Robert Harris (Goodreads Author),'B01AND3ILG,013,Invalid Length (not 10 or 13 after cleaning)
More Than Enough,Jay McLean (Goodreads Author),'B017O6EWFQ,0176,Invalid Length (not 10 or 13 after cleaning)
The Doors of Perception,Aldous Huxley,,,Invalid Length (not 10 or 13 after cleaning)
Torn,Carian Cole (Goodreads Author),'B01L7NNS5W,0175,Invalid Length (not 10 or 13 after cleaning)
Desecrating Solomon II,Lucian Bane (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
The Renfield Syndrome,J.A. Saare (Goodreads Author),'B005IEIJY2,0052,Invalid Length (not 10 or 13 after cleaning)
Tributary,Lisa Tawn Bergren (Goodreads Author),'B008A36RVK,00836,Invalid Length (not 10 or 13 after cleaning)
عيناك قدري,غادة السمان (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Fashionably Dead,Robyn Peterman (Goodreads Author),'B00EYMXM2I,002,Invalid Length (not 10 or 13 after cleaning)
The Final Formula,Becca Andre (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Dom Wars: Round 1 & 2,Lucian Bane (Goodreads Author),'B00K0YBVIG,000,Invalid Length (not 10 or 13 after cleaning)
Pale Kings and Princes,"Cassandra Clare (Goodreads Author), Robin Wasserman (Goodreads Author)",,,Invalid Length (not 10 or 13 after cleaning)
The White Princess,Philippa Gregory (Goodreads Author),'B00A285OOW,00285,Invalid Length (not 10 or 13 after cleaning)
The Golden Sword,Janet E. Morris (Goodreads Author),'B01FCMA7LM,017,Invalid Length (not 10 or 13 after cleaning)
Fifty-one Shades: A Parody (First Three Chapters),Andrew Shaffer (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Rival Demons,Sarra Cannon (Goodreads Author),'B006ZT0IIE,0060,Invalid Length (not 10 or 13 after cleaning)
All He Desires,C.C. Gibbs (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Life Before Legend,Marie Lu (Goodreads Author),'B009KUWWD4,0094,Invalid Length (not 10 or 13 after cleaning)
Dom Wars: Round 3 & 4,Lucian Bane (Goodreads Author),'B00L3X6L9C,00369,Invalid Length (not 10 or 13 after cleaning)
2005 - Thanks for the Vodka,"Harpie, Karl Wiggins (Goodreads Author)",'B01I2A0EI2,01202,Invalid Length (not 10 or 13 after cleaning)
The Fortunate Ones,R.S. Grey (Goodreads Author),'B076X5XB45,076545,Invalid Length (not 10 or 13 after cleaning)
Kolbe (Geschichte erleben mit Spannung),Andreas Kollender,'B0114PL5OO,01145,Invalid Length (not 10 or 13 after cleaning)
Tears of the Silenced: A True Crime and an American Tragedy; Severe Child Abuse and Leaving the Amish,Misty Griffin (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
The Interludes: A Sexual Odyssey,J.K. Duval (Goodreads Author),'B07418RMT7,074187,Invalid Length (not 10 or 13 after cleaning)
All We Ever Wanted,Emily Giffin (Goodreads Author),'B07639D2G9,0763929,Invalid Length (not 10 or 13 after cleaning)
I Was Born for This,Alice Oseman (Goodreads Author),'B01NC01XAZ,0101,Invalid Length (not 10 or 13 after cleaning)
Found,Sarah Prineas (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Deadly Little Voices,Laurie Faria Stolarz (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
The Impact of You,Kendall Ryan (Goodreads Author),'B00D9EX4XO,0094,Invalid Length (not 10 or 13 after cleaning)
Unchained - Nephilim Rising,"J. Lynn, Jennifer L. Armentrout (Goodreads Author)",'B00BMKRL86,0086,Invalid Length (not 10 or 13 after cleaning)
Dom Wars: Round Five,Lucian Bane (Goodreads Author),'B00KZMICVW,00,Invalid Length (not 10 or 13 after cleaning)
Cuts Like An Angel,"Mason Sabre (Goodreads Author), Lucian Bane (Goodreads Author)",'B01I8J2YRG,0182,Invalid Length (not 10 or 13 after cleaning)
I Can Be a Better You,Tarryn Fisher (Goodreads Author),'B01N7LNCZQ,017,Invalid Length (not 10 or 13 after cleaning)
Prisoners in Paradise,"Kathryn Braund (Goodreads Author), Margaret Dominy (Illustrator)",,,Invalid Length (not 10 or 13 after cleaning)
Sixpence House: Lost in a Town of Books,Paul Collins (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
"Blood, Body and Mind",Kathi S. Barton (Goodreads Author),'B0052AI36Q,005236,Invalid Length (not 10 or 13 after cleaning)
Monster,Francette Phal,,,Invalid Length (not 10 or 13 after cleaning)
Blackwater: The Complete Caskey Family Saga,"Michael McDowell, John Langan (Introduction)",'B00N4LD4OG,0044,Invalid Length (not 10 or 13 after cleaning)
Crimson Bound,Rosamund Hodge (Goodreads Author),'B00MMENBPS,00,Invalid Length (not 10 or 13 after cleaning)
How to Run with a Naked Werewolf,Molly Harper (Goodreads Author),'B00BSBR0BC,000,Invalid Length (not 10 or 13 after cleaning)
The Killing Kind,John Connolly (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Screaming in the Silence,Lydia Kelly,'B0049B30O4,0049304,Invalid Length (not 10 or 13 after cleaning)
The Last Defender of Camelot,"Roger Zelazny, Robert Silverberg (Selected by)",,,Invalid Length (not 10 or 13 after cleaning)
The Ballad of Aramei,J.A. Redmerski (Goodreads Author),'B00A9WGTT0,0090,Invalid Length (not 10 or 13 after cleaning)
"Rashed, My Friend","Muhammed Zafar Iqbal, Yeshim Iqbal (Translator)",,,Invalid Length (not 10 or 13 after cleaning)
Illuminate,Aimee Agresti (Goodreads Author),'B005MZN27G,00527,Invalid Length (not 10 or 13 after cleaning)
Stuck-Up Suit,"Vi Keeland (Goodreads Author), Penelope Ward (Goodreads Author)",,,Invalid Length (not 10 or 13 after cleaning)
Friend Request,Laura Marshall,'B01N6MTWYC,016,Invalid Length (not 10 or 13 after cleaning)
Salt,Nayyirah Waheed (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Bittersweet Moments,Dori Lavelle (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
The Untouchables,J.J. McAvoy,'B00OTYZ3LY,003,Invalid Length (not 10 or 13 after cleaning)
Love's Suicide,Jennifer Foor (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Reawakened,Colleen Houck (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Updraft,Fran Wilde (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Last Song Before Night,Ilana C. Myer (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Pucked Over,Helena Hunting (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
The Vixen and the Vet,Katy Regnery (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Insincerity,Richard Godwin (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Wrong Planet - Searching for your Tribe,Karl Wiggins (Goodreads Author),'B07HQN7KRC,077,Invalid Length (not 10 or 13 after cleaning)
Spin the Dawn,Elizabeth Lim (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Smitten,Lacey Weatherford (Goodreads Author),'B00DJSQYJQ,00,Invalid Length (not 10 or 13 after cleaning)
Legend of the Sword,Michael R. Hicks (Goodreads Author),'B00394DSZS,00394,Invalid Length (not 10 or 13 after cleaning)
Encontrando a Silvia,Elísabet Benavent,'B00KMCJPNY,00,Invalid Length (not 10 or 13 after cleaning)
Paladin,Sally Slater (Goodreads Author),'B00WL64DLI,0064,Invalid Length (not 10 or 13 after cleaning)
Sam: The Cat Without a Tail,"Gloria Lintermans (Goodreads Author), Kristina Tosic (Illustrator)",'B0727S29LP,072729,Invalid Length (not 10 or 13 after cleaning)
Betsy in Spite of Herself,"Maud Hart Lovelace, Vera Neville (Illustrator)",,,Invalid Length (not 10 or 13 after cleaning)
Revelations,Genevieve Pearson (Goodreads Author),'B006KGVNVI,006,Invalid Length (not 10 or 13 after cleaning)
Réminiscences,Georgia Caldera,'B005LUW6Y2,00562,Invalid Length (not 10 or 13 after cleaning)
The White Disease,"Karel Čapek, Michael Henry Heim (Translator)",,,Invalid Length (not 10 or 13 after cleaning)
Too Late,Colleen Hoover (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
The Wright Brothers,David McCullough,,,Invalid Length (not 10 or 13 after cleaning)
Touched,"Elisa S. Amore (Goodreads Author), Leah Janeczko (Translator)",,,Invalid Length (not 10 or 13 after cleaning)
Unfaithful,"Elisa S. Amore (Goodreads Author), Leah Janeczko (Translator)",,,Invalid Length (not 10 or 13 after cleaning)
Need to Know,Karen Cleveland (Goodreads Author),'B07257N5WW,072575,Invalid Length (not 10 or 13 after cleaning)
Matt: the Beginning,Viveca Benoir (Goodreads Author),'B00U418QRY,00418,Invalid Length (not 10 or 13 after cleaning)
Running Scarred,Jackie Williams (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Persiguiendo a Silvia,Elísabet Benavent,'B00K6J8NAY,0068,Invalid Length (not 10 or 13 after cleaning)
Silent Pantheon,Eric Nierstedt (Goodreads Author),'B07TRJYYRT,07,Invalid Length (not 10 or 13 after cleaning)
The Person Controller,"David Baddiel, Jim Field (Illustrator)",'B00XH88B4E,00884,Invalid Length (not 10 or 13 after cleaning)
Chasers,James Phelan (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Awry,Chelsea Fine (Goodreads Author),'B008AEDOA6,0086,Invalid Length (not 10 or 13 after cleaning)
Ruin Box Set 1-3,Lucian Bane (Goodreads Author),'B00Q9Y38KK,00938,Invalid Length (not 10 or 13 after cleaning)
The Evil We Love,"Cassandra Clare (Goodreads Author), Robin Wasserman (Goodreads Author), Chris Wood (Narrator)",,,Invalid Length (not 10 or 13 after cleaning)
I Am Princess X,Cherie Priest (Goodreads Author),'B00OU4Y5YY,0045,Invalid Length (not 10 or 13 after cleaning)
Heaven and Hell,Kristen Ashley (Goodreads Author),'B006R6JVH4,00664,Invalid Length (not 10 or 13 after cleaning)
Psalms,Anonymous,'B006T5NKWA,0065,Invalid Length (not 10 or 13 after cleaning)
Bourne,Lisa Tawn Bergren (Goodreads Author),'B007E4RWSI,0074,Invalid Length (not 10 or 13 after cleaning)
Brokenhearted,"Elisa S. Amore (Goodreads Author), Leah Janeczko (Translator)",,,Invalid Length (not 10 or 13 after cleaning)
The Blackthorn Key,Kevin Sands (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
The Innocent,Ian McEwan,,,Invalid Length (not 10 or 13 after cleaning)
Who He Is,"S.Q. Williams, Shanora Williams (Goodreads Author)",'B00E09DJYG,0009,Invalid Length (not 10 or 13 after cleaning)
Torn from You,Nashoda Rose (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
My Protector,Alanea Alder (Goodreads Author),'B00Q6UAE2C,0062,Invalid Length (not 10 or 13 after cleaning)
More Than Her,Jay McLean (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
