title,author,raw_isbn_in_csv,cleaned_isbn_attempt,skip_reason
Throne of Glass,Sarah J. Maas (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
The Screwtape Letters,C.S. Lewis,'B002BD2V2Y,00222,Invalid Length (not 10 or 13 after cleaning)
Cinder,Marissa Meyer (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Blindness,José Saramago,'B003T0GBOM,0030,Invalid Length (not 10 or 13 after cleaning)
The Sound and the Fury,William Faulkner,,,Invalid Length (not 10 or 13 after cleaning)
The Shack,William Paul Young,'B001B8Z2S0,001820,Invalid Length (not 10 or 13 after cleaning)
For Whom the Bell Tolls,Ernest Hemingway,,,Invalid Length (not 10 or 13 after cleaning)
Island of the Blue Dolphins,Scott O'Dell,'B0038AUY8M,00388,Invalid Length (not 10 or 13 after cleaning)
The Diary of a Young Girl,"Anne Frank, Eleanor Roosevelt (Introduction), 郭清玲 (Translator), Barbara Mooyaart-Doubleday (Translator)",,,Invalid Length (not 10 or 13 after cleaning)
Beautiful Disaster,Jamie McGuire (Goodreads Author),'B0052VUNHC,0052,Invalid Length (not 10 or 13 after cleaning)
Uncle Tom's Cabin,Harriet Beecher Stowe,,,Invalid Length (not 10 or 13 after cleaning)
The Historian,Elizabeth Kostova,'B000FCK6EI,0006,Invalid Length (not 10 or 13 after cleaning)
Invisible Man,Ralph Ellison,,,Invalid Length (not 10 or 13 after cleaning)
Gone Girl,Gillian Flynn (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Leaves of Grass,Walt Whitman,,,Invalid Length (not 10 or 13 after cleaning)
Graceling,Kristin Cashore,,,Invalid Length (not 10 or 13 after cleaning)
The Time Machine,"H.G. Wells, Greg Bear (Introduction), Carlo Pagetti (Foreword)",,,Invalid Length (not 10 or 13 after cleaning)
Walden,Henry David Thoreau,,,Invalid Length (not 10 or 13 after cleaning)
Fangirl,Rainbow Rowell (Goodreads Author),'B00BMKH5NW,005,Invalid Length (not 10 or 13 after cleaning)
A Court of Mist and Fury,Sarah J. Maas (Goodreads Author),'B015FELXQ0,0150,Invalid Length (not 10 or 13 after cleaning)
Things Fall Apart,Chinua Achebe,,,Invalid Length (not 10 or 13 after cleaning)
A Time to Kill,John Grisham (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
The Gunslinger,Stephen King (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Do Androids Dream of Electric Sheep?,Philip K. Dick,'B000SEGTI0,0000,Invalid Length (not 10 or 13 after cleaning)
The Lord of the Rings,J.R.R. Tolkien,,,Invalid Length (not 10 or 13 after cleaning)
Legend,Marie Lu (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
The Hound of the Baskervilles,"Arthur Conan Doyle, Anne Perry (Afterword)",,,Invalid Length (not 10 or 13 after cleaning)
Wonder,R.J. Palacio,,,Invalid Length (not 10 or 13 after cleaning)
Obsidian,Jennifer L. Armentrout (Goodreads Author),,,Invalid Length (not 10 or 13 after cleaning)
Robinson Crusoe,"Daniel Defoe, Virginia Woolf (Introduction)",,,Invalid Length (not 10 or 13 after cleaning)
Breakfast at Tiffany's and Three Stories,Truman Capote,,,Invalid Length (not 10 or 13 after cleaning)
Room,Emma Donoghue (Goodreads Author),'B003YFIUW8,0038,Invalid Length (not 10 or 13 after cleaning)
The Subtle Knife,Philip Pullman,'B00SSJYF8S,008,Invalid Length (not 10 or 13 after cleaning)
